Model,Period_s,RMSE,R2,Sigma,Bias
BNN-Improved,0.065,1.0654194,0.8087277412414551,1.0577077,-0.12795642
BNN-Improved,0.067,1.0609609,0.810879111289978,1.0605998,0.02767761
BNN-Improved,0.07,1.0730295,0.8073939085006714,1.071089,0.06451439
BNN-Improved,0.075,1.0947133,0.8010560274124146,1.0783039,0.1888327
BNN-Improved,0.08,1.0964319,0.8021721839904785,1.0962616,0.019347377
BNN-Improved,0.085,1.0957196,0.803662121295929,1.0937508,-0.0656679
BNN-Improved,0.09,1.1041034,0.8018389344215393,1.1040125,0.014105472
BNN-Improved,0.095,1.1105447,0.8005936145782471,1.1089808,0.058894712
BNN-Improved,0.1,1.1119678,0.8008803725242615,1.1115907,-0.028946716
BNN-Improved,0.11,1.1294078,0.7953448295593262,1.1137817,0.18722466
BNN-Improved,0.12,1.112212,0.8017382025718689,1.1111099,-0.049527254
BNN-Improved,0.13,1.1168368,0.8001928329467773,1.106824,0.1492189
BNN-Improved,0.133,1.107725,0.8034014701843262,1.1049554,-0.078287624
BNN-Improved,0.14,1.1223035,0.7979992628097534,1.0931824,0.254002
BNN-Improved,0.15,1.0899419,0.808940589427948,1.0895422,0.029536808
BNN-Improved,0.16,1.1001407,0.8049115538597107,1.0849568,-0.18215297
BNN-Improved,0.17,1.0881509,0.8087401390075684,1.0865204,0.059543025
BNN-Improved,0.18,1.0836859,0.8100976943969727,1.072675,-0.15409254
BNN-Improved,0.19,1.0690825,0.8149822354316711,1.0638454,-0.10568566
BNN-Improved,0.2,1.0713403,0.8127875328063965,1.0597622,-0.15708151
BNN-Improved,0.22,1.0454637,0.8193536996841431,1.0437694,0.059493072
BNN-Improved,0.24,1.0362816,0.8205516934394836,1.035206,-0.04719858
BNN-Improved,0.25,1.0276424,0.8230528831481934,1.0276132,0.0077990764
BNN-Improved,0.26,1.0261573,0.8232038021087646,1.0225927,-0.0854569
BNN-Improved,0.28,1.0149384,0.8262959718704224,1.0148929,-0.009543365
BNN-Improved,0.29,1.0053527,0.8293492794036865,1.0039659,-0.052779987
BNN-Improved,0.3,1.0109028,0.827150821685791,1.001227,-0.13953406
BNN-Improved,0.32,1.0239106,0.821814775466919,0.98434526,-0.28188345
BNN-Improved,0.34,0.97248054,0.8384993076324463,0.97247547,0.003168458
BNN-Improved,0.35,0.97021943,0.8386316299438477,0.9681645,0.06311344
BNN-Improved,0.36,0.9589498,0.8417538404464722,0.95859694,0.026001731
BNN-Improved,0.38,0.956102,0.8415581583976746,0.9559705,-0.015837723
BNN-Improved,0.4,0.9546163,0.8409353494644165,0.9440249,-0.14180776
